Code;Nom;Famille;Coefficient;PrixBaseHT;PrixBaseTTC
CL5;Console Digitale Yamaha CL5 + Rio3224D + multi RJ45;MIX.;1;€400,00 ;€480,00 
CLEM;Affaire suivie par Clémence;;0;€0,00 ;€0,00 
CONTROL1;Rack contrôle EQ XTA et Ultra-curve DEQ2496 Behringer;PERI.;1;€40,00 ;€48,00 
CONTROL2;Rack de contrôle  EQ XTA et/ou  APEX GX230;PERI.;1;€40,00 ;€48,00 
CONTROL3;Rack de contrôle Lake LM44 + Switch Gigabit Cisco;PERI.;1;€60,00 ;€72,00 
CRASH20;Crash barrières 20Mètres;;1;€800,00 ;€960,00 
CSCENE;Camion scène hydrolique;;1;€6?000,00 ;€7?200,00 
D2002;Amplificateur digital Powersoft 2x 1000W @ 2 Ohm 2x 350W @ 8 Ohm;AMP.;1;€20,00 ;€24,00 
D3002;Amplificateur Digital Powersoft 2x 1500W @ 2 Ohm 2x 500 @ 8 Ohm;AMP.;1;€25,00 ;€30,00 
D7000;Ampli Digital Powersoft 2x 3500W @ 2 Ohms  Digam 7000;AMP.;1;€30,00 ;€36,00 
DANTE;Carte Audinate Dante MY16-AUD;PERI.;1;€40,00 ;€48,00 
DBX160;Compresseur/limiteur mono DBX160A;PERI.;1;€19,00 ;€22,80 
DCX2496;Ultra-Drive Pro DCX2496 Behringer;PERI.;1;€20,00 ;€24,00 
DECOUPECOURTE;Projecteur découpe courte Scenilux 1000 W;TRAD.;1;€13,00 ;€15,60 
DEP1;Defraiement technicien hébergement + repas/J;LOGI.;1;€115,00 ;€138,00 
DEP2;Defraiement technicien repas/J;LOGI.;1;€40,00 ;€48,00 
DEP3;Defraiement technicien hébergement/J;LOGI.;1;€75,00 ;€90,00 
DEP4;Defraiement technicien repas midi;LOGI.;1;€20,00 ;€24,00 
DIACTIVE;Boîtier de direct actif DI100 Behringer;CAPT.;1;€4,00 ;€4,80 
DIBSS;Boîtier de direct actif  AR133 BSS;CAPT.;1;€8,00 ;€9,60 
DIFDJIP1;Diffusion 2xDjip + 1 TK18  + Amplificateur Digital 4x500W + processeur;ENC.;1;€80,00 ;€96,00 
DIFDJIP2;Diff. 3x Djip + 1TK18 + 1 Ampli Digital 4x 400W + proc.;ENC.;1;€95,00 ;€114,00 
DIFDJIP3;Diffusion 2xDjip + 2 TK18  + Amplificateur Digital 4x500W + processeur;ENC.;1;€95,00 ;€114,00 
DIFFARCS;Système de diffusion L-ACOUSTICS Arcs;COMPO.;0;€0,00 ;€0,00 
DIFFJUNO;Sytème de diffusion KYU SYSTEMS Juno;COMPO.;0;€0,00 ;€0,00 
DIFFK10;Système de diffusion KYU SYSTEMS Kryter 10;COMPO.;0;€0,00 ;€0,00 
DIFFK12;Système de diffusion KYU SYSTEMS  Kryter 12;COMPO.;0;€0,00 ;€0,00 
DIFFRO;Système de diffusion KYU SYSTEMS Ro15;COMPO.;0;€0,00 ;€0,00 
DIPASSIVE;Boîtier de direct passif DIB100 Monacor;CAPT.;1;€7,00 ;€8,40 
DISPATCH16A;Contrôleur d'alimentation 8 voies avec interrupteurs;TRAD.;1;€3,50 ;€4,20 
DIV;-;VDIVELEC.;0;€0,00 ;€0,00 
DJIP;"Enceinte coax 12""+2"" DJIP  500 W";ENC.;1;€22,00 ;€26,40 
DL241;Comp/gate/limiteur 2 canaux Drawmer DL241;PERI.;1;€25,00 ;€30,00 
DMX;Rouleau 50 m dmx 3 conducteurs XLR / XLR;CABLIGHT.;1;€8,00 ;€9,60 
DP224;Processeur numérique XTA DP224 2in/4out;PERI.;1;€35,00 ;€42,00 
DP6I;Processeur numérique XTA DP6i 2in/6out;PERI.;1;€35,00 ;€42,00 
DPA4060;Micro miniature omni DPA4060 adaptateur 48V ou HF Pocket;CAPT.;1;€25,00 ;€30,00 
DPA4061;Micro miniature omni DPA 4061 Adaptateur 48V ou HF Pocket;CAPT.;1;€25,00 ;€30,00 
DPA4066;Micro serre tête miniature YPA / DPA;CAPT.;1;€35,00 ;€42,00 
DPA4080;Micro Cravate miniature cardio DPA4080;CAPT.;1,75;€35,00 ;€42,00 
DPA4088;Microphone DPA4088 tour de cou chant cardioide;CAPT.;1;€25,00 ;€30,00 
DPR504;Quadruple gate BSS DPR 504;PERI.;1;€25,00 ;€30,00 
DPR901;Compresseur 4 canaux BSS DPR901 II;PERI.;1;€40,00 ;€48,00 
DPR944;Comp/gate Opale 2 canaux BSS DPR944;PERI.;1;€20,00 ;€24,00 
DRIVER12/100;Driver 12 paires 100m + boîtier XLR;MULTI.;1;€30,00 ;€36,00 
DRIVER12/30;Traversée de scène/driver 12 p./30m sur touret + boîtier;MULTI.;1;€15,00 ;€18,00 
DRIVER12PAIRES;Driver 12 paires 70m sur touret + boitier XLR;MULTI.;1;€20,00 ;€24,00 
DRIVER4PAIRES;Driver 4 paires + boîtier XLR;MULTI.;1;€8,00 ;€9,60 
DRIVER8PAIRES;Driver 8 paires 50m sur touret + boitier XLR;MULTI.;1;€15,00 ;€18,00 
DSP10K;Amplificateur class Td 4x2800 W @ 3 Ohm avec DSP 2 In - 4 Out;AMP.;1;€70,00 ;€84,00 
DSP4K;Amplificateur Digital dsp 2In 4 Out 1U 4x 1000W @ 8 Ohm;AMP.;1;€35,00 ;€42,00 
DTWO;Delay numérique TC Electronics D-TWO;PERI.;1;€25,00 ;€30,00 
E604;Micro dynamique cardioïde E604 Sennheiser;CAPT.;1;€7,00 ;€8,40 
E609;Micro supercardioïde E609 Sennheiser;CAPT.;1;€7,00 ;€8,40 
E835S;Microphone dynamique cardio Switch;CAPT.;2,22222;€6,67 ;€8,00 
E840;Micro dynamique cardioïde E840  Sennheiser;CAPT.;1;€7,00 ;€8,40 
E901;Micro statique E901 Sennheiser;CAPT.;1;€15,00 ;€18,00 
E904;Micro dynamique cardioïde E904 Sennheiser;CAPT.;1;€8,00 ;€9,60 
E908;Micro statique cuivres et percus E908 Sennheiser;CAPT.;1;€15,00 ;€18,00 
ECM8000;Microphone statique de mesure;CAPT.;1;€15,00 ;€18,00 
ECRAN;Ecran 2m50 x 2m avec socle;;1;€19,00 ;€22,80 
EFFEANALOG;Rack de traitement dynamiques composé de :;COMPO.;0;€0,00 ;€0,00 
